timestamp_ms,task_name,run_count,exec_time_ms,period_ms,priority,deadline_met,jitter_ms,cpu_percent,confidence,entropy
184773100.91,T_sched_monitor,92,15.073,40.00,90,1,0.060,12.9,,
184773101.92,T_actuate,74,5.293,50.00,70,1,0.012,12.5,,
184773130.43,T_sched_monitor,93,4.433,40.00,90,1,0.017,11.4,,
184773146.05,T_capture,38,0.023,100.00,70,1,0.013,12.1,,
184773150.72,T_actuate,75,4.160,50.00,70,1,0.450,9.3,,
184773168.47,T_sched_monitor,94,2.445,40.00,90,1,0.011,9.8,,
184773189.84,T_infer,18,18.492,250.00,20,1,0.012,11.6,,
184773198.32,T_sensor_check,26,2.312,150.00,20,1,0.009,12.4,,
184773202.08,T_actuate,76,5.410,50.00,70,1,0.192,15.4,,
184773205.92,T_sched_monitor,95,0.230,40.00,90,1,0.010,15.7,,
184773245.83,T_actuate,77,0.008,50.00,70,1,0.005,22.6,,
184773246.33,T_capture,39,0.011,100.00,70,1,0.420,18.5,,
184773252.08,T_sched_monitor,96,5.969,40.00,90,1,0.015,19.4,,
184773302.22,T_actuate,78,5.812,50.00,70,1,0.014,9.9,,
184773303.03,T_sched_monitor,97,16.912,40.00,90,1,0.016,9.9,,
184773335.95,T_sched_monitor,98,9.977,40.00,90,1,0.014,12.2,,
184773345.56,T_capture,40,0.017,100.00,70,1,0.010,13.2,,
184773348.09,T_sensor_check,27,2.230,150.00,20,1,0.002,15.6,,
184773351.93,T_actuate,79,5.847,50.00,70,1,0.003,16.2,,
184773369.04,T_sched_monitor,99,3.077,40.00,90,1,0.010,22.0,,
184773402.11,T_actuate,80,6.048,50.00,70,1,0.016,5.3,,
184773418.46,T_sched_monitor,100,12.619,40.00,90,1,0.008,3.2,,
184773441.20,T_infer,19,20.214,250.00,20,1,0.006,11.5,,
184773446.31,T_capture,41,0.020,100.00,70,1,0.013,4.3,,
184773446.83,T_actuate,81,0.184,50.00,70,1,0.718,3.6,,
184773447.02,T_sched_monitor,101,0.475,40.00,90,1,1.042,0.0,,
184773493.94,T_sched_monitor,102,8.020,40.00,90,1,0.021,100.0,,
184773500.70,T_sensor_check,28,4.579,150.00,20,1,0.009,10.5,,
184773502.21,T_actuate,82,5.976,50.00,70,1,0.198,61.5,,
184773535.35,T_sched_monitor,103,9.516,40.00,90,1,0.011,1.5,,
184773546.34,T_capture,42,0.014,100.00,70,1,0.336,12.7,,
184773551.92,T_actuate,83,5.644,50.00,70,1,0.009,1.5,,
184773568.57,T_sched_monitor,104,2.380,40.00,90,1,0.011,7.7,,
184773602.29,T_actuate,84,5.828,50.00,70,1,0.009,18.0,,
184773610.39,T_sched_monitor,105,4.616,40.00,90,1,0.007,8.4,,
184773646.25,T_capture,43,0.017,100.00,70,1,0.416,7.0,,
184773648.58,T_sensor_check,29,2.485,150.00,20,1,0.009,5.7,,
184773651.99,T_actuate,85,5.705,50.00,70,1,0.196,2.3,,
184773652.33,T_sched_monitor,106,6.687,40.00,90,1,0.015,0.0,,
184773689.56,T_infer,20,18.712,250.00,20,1,0.013,8.7,,
184773689.82,T_sched_monitor,107,4.401,40.00,90,1,0.020,10.7,,
184773696.39,T_actuate,86,0.014,50.00,70,1,0.014,10.0,,
184773735.15,T_sched_monitor,108,9.248,40.00,90,1,0.010,12.5,,
184773745.79,T_capture,44,0.021,100.00,70,1,0.013,11.2,,
184773752.01,T_actuate,87,5.324,50.00,70,1,0.233,11.6,,
184773769.00,T_sched_monitor,109,2.443,40.00,90,1,0.014,5.1,,
184773798.44,T_sensor_check,30,2.454,150.00,20,1,0.005,9.9,,
184773801.59,T_actuate,88,5.457,50.00,70,1,0.017,6.6,,
184773810.69,T_sched_monitor,110,4.632,40.00,90,1,0.007,7.1,,
184773846.30,T_capture,45,0.020,100.00,70,1,0.260,8.0,,
184773852.13,T_actuate,89,5.765,50.00,70,1,0.010,8.8,,
184773852.87,T_sched_monitor,111,6.848,40.00,90,1,0.015,9.3,,
184773902.48,T_actuate,90,5.853,50.00,70,1,0.015,8.9,,
184773902.98,T_sched_monitor,112,17.201,40.00,90,1,0.019,8.9,,
184773935.74,T_sched_monitor,113,9.311,40.00,90,1,0.022,35.3,,
184773939.86,T_infer,21,18.321,250.00,20,1,0.010,15.2,,
184773946.35,T_capture,46,0.019,100.00,70,1,0.016,22.0,,
184773951.78,T_sensor_check,31,4.499,150.00,20,1,0.615,18.3,,
184773952.13,T_actuate,91,5.432,50.00,70,1,0.748,38.9,,
184773965.67,T_sched_monitor,114,0.132,40.00,90,1,0.009,31.7,,
184773995.76,T_actuate,92,0.008,50.00,70,1,0.010,21.6,,
184774010.61,T_sched_monitor,115,4.602,40.00,90,1,0.008,16.0,,
184774045.80,T_capture,47,0.012,100.00,70,1,0.213,10.7,,
184774050.97,T_actuate,93,4.766,50.00,70,1,0.003,2.9,,
184774051.41,T_sched_monitor,116,5.658,40.00,90,1,0.011,3.9,,
184774098.36,T_sensor_check,32,2.411,150.00,20,1,0.010,10.7,,
184774101.89,T_sched_monitor,117,15.686,40.00,90,1,0.016,10.3,,
184774102.33,T_actuate,94,6.279,50.00,70,1,0.012,10.3,,
184774135.38,T_sched_monitor,118,9.275,40.00,90,1,0.012,8.3,,
184774145.84,T_capture,48,0.015,100.00,70,1,0.244,9.7,,
184774151.70,T_actuate,95,5.522,50.00,70,1,0.009,7.4,,
184774168.38,T_sched_monitor,119,2.414,40.00,90,1,0.012,7.3,,
184774190.15,T_infer,22,19.286,250.00,20,1,0.005,9.5,,
184774201.86,T_actuate,96,5.674,50.00,70,1,0.008,6.0,,
184774205.64,T_sched_monitor,120,0.102,40.00,90,1,0.005,9.3,,
184774246.03,T_actuate,97,0.004,50.00,70,1,0.169,18.2,,
184774246.24,T_capture,49,0.009,100.00,70,1,0.613,9.6,,
184774248.43,T_sensor_check,33,2.569,150.00,20,1,0.002,9.1,,
184774251.58,T_sched_monitor,121,5.876,40.00,90,1,0.009,10.0,,
184774293.43,T_sched_monitor,122,7.403,40.00,90,1,0.012,0.0,,
184774301.81,T_actuate,98,5.672,50.00,70,1,0.014,1.5,,
184774343.94,T_sched_monitor,123,17.445,40.00,90,1,0.011,6.3,,
184774345.61,T_capture,50,0.016,100.00,70,1,0.007,8.6,,
184774352.28,T_actuate,99,5.734,50.00,70,1,0.003,14.8,,
184774368.31,T_sched_monitor,124,2.689,40.00,90,1,0.011,29.6,,
184774398.53,T_sensor_check,34,2.578,150.00,20,1,0.012,7.3,,
184774401.64,T_actuate,100,5.276,50.00,70,1,0.233,4.4,,
184774418.58,T_sched_monitor,125,11.776,40.00,90,1,0.007,3.7,,
184774439.30,T_infer,23,18.484,250.00,20,1,0.009,7.6,,
184774445.54,T_sched_monitor,126,0.144,40.00,90,1,0.007,2.0,,
184774445.82,T_actuate,101,0.004,50.00,70,1,0.003,4.3,,
184774446.09,T_capture,51,0.007,100.00,70,1,0.390,4.0,,
184774501.69,T_sched_monitor,127,15.820,40.00,90,1,0.015,15.5,,
184774502.17,T_actuate,102,6.182,50.00,70,1,0.012,15.5,,
184774535.26,T_sched_monitor,128,9.501,40.00,90,1,0.015,2.6,,
184774545.58,T_capture,52,0.026,100.00,70,1,0.011,8.0,,
184774548.54,T_sensor_check,35,2.551,150.00,20,1,0.003,7.0,,
184774551.87,T_actuate,103,5.721,50.00,70,1,0.078,2.6,,
184774569.09,T_sched_monitor,129,2.923,40.00,90,1,0.011,1.8,,
184774602.37,T_actuate,104,6.277,50.00,70,1,0.010,5.6,,
184774618.45,T_sched_monitor,130,12.380,40.00,90,1,0.006,11.5,,
184774646.24,T_capture,53,0.021,100.00,70,1,0.432,5.0,,
184774652.01,T_actuate,105,5.939,50.00,70,1,0.018,4.3,,
184774652.55,T_sched_monitor,131,6.248,40.00,90,1,0.479,1.1,,
184774689.41,T_infer,24,18.566,250.00,20,1,0.014,6.8,,
184774689.65,T_sched_monitor,132,4.240,40.00,90,1,0.014,13.3,,
184774696.08,T_actuate,106,0.005,50.00,70,1,0.179,9.5,,
184774698.30,T_sensor_check,36,2.337,150.00,20,1,0.006,5.5,,
184774735.75,T_sched_monitor,133,9.787,40.00,90,1,0.016,12.3,,
184774745.58,T_capture,54,0.017,100.00,70,1,0.012,11.6,,
184774751.15,T_actuate,107,4.691,50.00,70,1,0.081,12.1,,
184774768.88,T_sched_monitor,134,2.818,40.00,90,1,0.013,1.4,,
184774802.45,T_actuate,108,6.288,50.00,70,1,0.018,7.1,,
184774810.49,T_sched_monitor,135,4.626,40.00,90,1,0.010,20.0,,
184774845.80,T_capture,55,0.028,100.00,70,1,0.017,8.7,,
184774848.89,T_sensor_check,37,2.681,150.00,20,1,0.134,9.7,,
184774852.05,T_actuate,109,5.432,50.00,70,1,0.266,11.1,,
184774852.79,T_sched_monitor,136,6.246,40.00,90,1,0.527,11.1,,
184774903.92,T_sched_monitor,137,18.133,40.00,90,1,0.016,6.0,,
184774904.12,T_actuate,110,8.304,50.00,70,1,0.015,6.0,,
184774940.81,T_infer,25,19.781,250.00,20,1,0.009,7.7,,
184774941.31,T_sched_monitor,138,15.710,40.00,90,1,0.008,4.2,,
184774945.55,T_capture,56,0.013,100.00,70,1,0.009,5.3,,
184774945.72,T_actuate,111,0.007,50.00,70,1,0.006,5.0,,
184774967.71,T_sched_monitor,139,2.045,40.00,90,1,0.010,15.4,,
184774998.25,T_sensor_check,38,2.164,150.00,20,1,0.003,6.8,,
184775001.78,T_actuate,112,5.552,50.00,70,1,0.012,8.0,,
